,Title,Published_date,Views,Likes,Comments,Month
73,Find a Data Science Project With These 3 Techniques,2020-11-06,14855,635,101,Nov
74,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,22261,601,154,Oct
75,git for Data Science Made Simple... (Hopefully),2020-10-23,15509,747,92,Oct
76,The PODCAST you might have asked for?,2020-10-19,1980,94,44,Oct
77,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6474,444,113,Oct
78,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,11628,357,48,Oct
79,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,5796,127,62,Oct
80,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,8733,484,81,Oct
81,Sh*t Data Scientists Say (Parody),2020-10-05,9009,570,142,Oct
82,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8387,362,93,Oct
83,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6872,283,61,Sep
84,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10343,274,69,Sep
85,5 Essential Data Science Projects for Your Portfolio,2020-09-26,64501,2880,201,Sep
86,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4963,191,66,Sep
87,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9615,395,58,Sep
88,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7126,249,34,Sep
89,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,4999,192,56,Sep
90,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3912,152,35,Sep
91,The 5 Pillars of Success I Live By,2020-09-11,9937,868,153,Sep
92,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1862,77,25,Sep
93,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3806,158,43,Sep
94,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11156,715,143,Sep
95,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17235,557,90,Sep
96,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,15997,753,93,Aug
97,Why I'm Starting Data Science Over Again.,2020-08-29,50250,2599,452,Aug
98,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14161,591,76,Aug
99,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11473,428,54,Aug
100,Don't Buy My Course..,2020-08-21,7266,356,148,Aug
101,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,27539,1071,166,Aug
102,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3109,128,40,Aug
103,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6036,533,110,Aug
